number,returns,variances,epsilon
0,[0.00000 0.04000],[0.00000 0.00640],0.999903296102219
50,[0.00000 0.00000],[0.00000 0.00000],0.9992948901400667
100,[0.04000 0.08000],[0.00640 0.02560],0.9986929865542588
150,[0.04000 0.08000],[0.00640 0.02560],0.9980125440908978
200,[0.08000 0.16000],[0.00960 0.03840],0.997343282027458
250,[0.00000 0.00000],[0.00000 0.00000],0.9966400454455643
300,[0.04000 0.08000],[0.00640 0.02560],0.9960022817033283
350,[0.04000 0.08000],[0.00640 0.02560],0.9953931933964045
400,[0.04000 0.08000],[0.00640 0.02560],0.9945623165148001
450,[0.04000 0.08000],[0.00640 0.02560],0.9938663805492256
500,[0.00000 0.04000],[0.00000 0.00640],0.993228104718639
550,[0.00000 0.00000],[0.00000 0.00000],0.992587953277466
600,[0.12000 0.24000],[0.00960 0.03840],0.9919596347157611
650,[0.16000 0.32000],[0.00640 0.02560],0.9913400835489078
700,[0.08000 0.16000],[0.00960 0.03840],0.9906661715884282
750,[0.12000 0.24000],[0.00960 0.03840],0.9900299509798229
800,[0.08000 0.20000],[0.00960 0.03200],0.989407808041188
850,[0.08000 0.20000],[0.00960 0.03200],0.9888035114072635
900,[0.04000 0.04000],[0.00640 0.00640],0.9881449754389346
950,[0.16000 0.32000],[0.00640 0.02560],0.9874254880998531
1000,[0.16000 0.32000],[0.00640 0.02560],0.9868102836469846
1050,[0.12000 0.24000],[0.00960 0.03840],0.9862143859967077
1100,[0.20000 0.40000],[0.00000 0.00000],0.9856309521077096
1150,[0.12000 0.24000],[0.00960 0.03840],0.98489893235312
1200,[0.12000 0.24000],[0.00960 0.03840],0.9843056998599957
1250,[0.12000 0.28000],[0.00960 0.02560],0.9837196199585149
1300,[0.12000 0.24000],[0.00960 0.03840],0.9831369073606854
1350,[0.16000 0.32000],[0.00640 0.02560],0.9824964729893958
1400,[0.16000 0.32000],[0.00640 0.02560],0.9819174995239845
1450,[0.12000 0.24000],[0.00960 0.03840],0.9812974418172536
1500,[0.16000 0.32000],[0.00640 0.02560],0.9807364878644765
1550,[0.16000 0.32000],[0.00640 0.02560],0.9800968649203793
1600,[0.20000 0.40000],[0.00000 0.00000],0.9794486380327556
1650,[0.12000 0.24000],[0.00960 0.03840],0.9788091037426931
1700,[0.20000 0.40000],[0.00000 0.00000],0.9782615856588537
1750,[0.20000 0.40000],[0.00000 0.00000],0.9776348321843392
1800,[0.16000 0.36000],[0.00640 0.00640],0.9770969703089711
1850,[0.16000 0.32000],[0.00640 0.02560],0.9765811411632948
1900,[0.20000 0.40000],[0.00000 0.00000],0.9759037796144361
1950,[0.16000 0.32000],[0.00640 0.02560],0.975273296877623
2000,[0.20000 0.40000],[0.00000 0.00000],0.9746574348279189
2050,[0.12000 0.28000],[0.00960 0.02560],0.9740778473735993
2100,[0.16000 0.32000],[0.00640 0.02560],0.9735090652606518
2150,[0.20000 0.40000],[0.00000 0.00000],0.972935387967534
2200,[0.20000 0.40000],[0.00000 0.00000],0.9723001065260589
2250,[0.20000 0.40000],[0.00000 0.00000],0.971716700120006
