iteration,episode,ag1_iql_loss,ag2_iql_loss
0,0,0.05524,0.17296
1,50,0.00333,0.00480
2,100,0.00882,0.00355
3,150,0.01355,0.00387
4,200,0.01170,0.00454
5,250,0.00973,0.00312
6,300,0.00736,0.00200
7,350,0.00653,0.00167
8,400,0.01462,0.00212
9,450,0.02865,0.00323
10,500,0.03613,0.00425
11,550,0.04444,0.00519
12,600,0.04741,0.00604
13,650,0.05992,0.00687
14,700,0.09009,0.00698
15,750,0.15787,0.00677
16,800,0.21735,0.00671
17,850,0.27696,0.00644
18,900,0.33546,0.00578
19,950,0.42188,0.00585
20,1000,1.09716,0.00556
21,1050,1.52851,0.00500
22,1100,1.47953,0.00486
23,1150,1.80591,0.00427
24,1200,2.53503,0.00379
25,1250,9.30121,0.00360
26,1300,32.90980,0.00390
27,1350,56.09650,0.00354
28,1400,64.98311,0.00338
29,1450,56.30115,0.00361
30,1500,43.65454,0.00315
31,1550,40.90948,0.00337
32,1600,47.34224,0.00381
33,1650,307.95235,0.00374
34,1700,1751.28150,0.00368
35,1750,7215.22585,0.00378
36,1800,22939.45702,0.00395
37,1850,58869.39997,0.00376
38,1900,161172.38006,0.00389
39,1950,420265.77957,0.00395
40,2000,1009137.60153,0.00424
41,2050,2257877.51822,0.00418
42,2100,4499446.66505,0.00426
43,2150,8804442.84980,0.00482
44,2200,17479649.60650,0.00474
45,2250,31775107.33947,0.00385
46,2300,54092106.57519,0.00368
47,2350,95653457.57143,0.00315
48,2400,155027689.23990,0.00292
49,2450,259720837.60000,0.00311
50,2500,396407547.95331,0.00338
51,2550,586003651.85062,0.00361
52,2600,834218316.14081,0.00350
53,2650,1160758685.71120,0.00355
54,2700,1614843961.43365,0.00325
55,2750,2130114160.94635,0.00341
56,2800,2861937971.01972,0.00370
57,2850,3690381257.23797,0.00395
58,2900,5078508689.64520,0.00381
59,2950,6695554193.09640,0.00350
60,3000,8717134654.08504,0.00357
61,3050,10542148413.70684,0.00369
62,3100,12814823057.53166,0.00416
63,3150,15642689935.86167,0.00446
64,3200,19114654863.24654,0.00460
65,3250,23219740057.60000,0.00472
66,3300,28437225886.01617,0.00455
67,3350,34141782872.54414,0.00455
68,3400,41617165908.79393,0.00454
69,3450,50611317135.27851,0.00463
70,3500,59360779734.23565,0.00531
71,3550,69669443731.51500,0.00558
72,3600,82800455447.80637,0.00611
73,3650,98584678007.77017,0.00623
74,3700,119820674793.93625,0.00652
75,3750,135850067689.34213,0.00608
76,3800,157150816742.25699,0.00593
77,3850,186516899350.42804,0.00626
78,3900,215028506566.47192,0.00582
79,3950,247496856437.00830,0.00581
80,4000,285481333248.00000,0.00553
81,4050,331243389198.29443,0.00609
82,4100,370797621797.58984,0.00655
83,4150,428087265109.53918,0.00601
84,4200,492153896448.69470,0.00624
85,4250,549170442270.64337,0.00588
86,4300,625962258448.49402,0.00581
87,4350,706680322405.42163,0.00633
88,4400,782992292705.13062,0.00650
89,4450,882953209072.12097,0.00587
90,4500,974598399158.39551,0.00632
91,4550,1093326556051.06384,0.00600
92,4600,1193494231227.35645,0.00585
93,4650,1329060641693.51245,0.00678
94,4700,1453910067189.81104,0.00747
95,4750,1645477788334.21289,0.00786
96,4800,1794540712971.25269,0.00757
97,4850,1966810160752.65356,0.00710
98,4900,2147581049603.98755,0.00700
99,4950,2327632382572.40381,0.00754
100,5000,2585796590295.08350,0.00688
101,5050,2809042847957.45361,0.00661
102,5100,3068837566962.83203,0.00750
103,5150,3390978307550.39404,0.00874
104,5200,3730588102077.15723,0.00988
105,5250,4012634480777.99707,0.01016
106,5300,4320528912741.08740,0.00872
107,5350,4731784596902.11719,0.00901
108,5400,5234671244866.78223,0.00949
109,5450,5723124231769.67969,0.01050
110,5500,6157027437134.10156,0.01016
111,5550,6661765229954.84473,0.01030
112,5600,7146991133462.55664,0.01070
113,5650,7785131493403.70996,0.01117
114,5700,8414229124682.78613,0.00999
115,5750,9232234820076.48047,0.00952
116,5800,9603869805280.20898,0.01064
117,5850,10486822451153.50977,0.01018
118,5900,11264923765155.64258,0.00967
119,5950,11839497316646.38086,0.00995
120,6000,12594184169689.87305,0.00914
121,6050,13555662139796.11133,0.00973
122,6100,14544573475730.14062,0.00948
123,6150,15886620373943.59570,0.01061
124,6200,16879839507474.51367,0.01107
125,6250,18265680978326.01562,0.01087
126,6300,19315110931443.66406,0.01065
127,6350,20758118030499.77344,0.00892
128,6400,22242424490588.23828,0.00853
129,6450,23549473587200.00000,0.00893
130,6500,25156666158082.80469,0.00958
131,6550,26678212964667.07812,0.00929
132,6600,28512783223554.23828,0.00886
133,6650,30244985813550.54688,0.00942
134,6700,31585518169072.02344,0.00966
135,6750,33951910016289.81250,0.00882
136,6800,36100601122319.86719,0.00864
137,6850,38306005273918.54688,0.00875
138,6900,40861516236698.61719,0.00820
139,6950,43146879439230.14844,0.00844
140,7000,45160401793545.31250,0.00824
141,7050,48504934574614.39844,0.00818
142,7100,49376657005259.73438,0.00772
143,7150,53086434345861.67188,0.00742
144,7200,55666488083223.09375,0.00685
145,7250,58493278725742.95312,0.00692
146,7300,62587307956941.48438,0.00743
147,7350,66260791717414.13281,0.00704
148,7400,69965667642747.00781,0.00651
149,7450,73025413057348.21875,0.00617
150,7500,77538104403668.54688,0.00638
151,7550,81031063300337.68750,0.00602
152,7600,84930366809521.46875,0.00609
153,7650,88910624871323.12500,0.00583
154,7700,94643528087601.95312,0.00542
155,7750,98001752518682.76562,0.00526
156,7800,104853517981773.17188,0.00567
157,7850,107802381092089.00000,0.00503
158,7900,114350022544679.70312,0.00451
159,7950,120626772041502.53125,0.00394
160,8000,128627380449942.68750,0.00369
161,8050,132014504179094.65625,0.00379
162,8100,137004844195067.17188,0.00373
163,8150,142959398460771.00000,0.00324
164,8200,148830172167445.28125,0.00300
165,8250,158715960225558.28125,0.00257
166,8300,162295772578880.96875,0.00223
167,8350,170146100334743.71875,0.00206
168,8400,179350179875314.00000,0.00233
169,8450,186892564669745.28125,0.00268
170,8500,196631578551998.96875,0.00266
171,8550,205221235814855.12500,0.00223
172,8600,215579119006738.93750,0.00182
173,8650,225588063137053.37500,0.00171
174,8700,232791606741988.81250,0.00172
175,8750,242290864415485.81250,0.00192
176,8800,251135654177340.96875,0.00196
177,8850,261842750229154.09375,0.00177
