number,returns,variances,epsilon
0,[0.00000 0.00000],[0.00000 0.00000],0.9933447481708257
50,[0.00000 0.00000],[0.00000 0.00000],0.942366849200993
100,[0.00000 0.00000],[0.00000 0.00000],0.8898155684288068
150,[0.00000 0.00000],[0.00000 0.00000],0.8406205448507549
200,[0.00000 0.00000],[0.00000 0.00000],0.7924283417717667
250,[0.00000 0.00000],[0.00000 0.00000],0.7491693478948548
300,[0.00000 0.00000],[0.00000 0.00000],0.7059273365888622
350,[0.00000 0.00000],[0.00000 0.00000],0.6661622216130061
400,[0.00000 0.00000],[0.00000 0.00000],0.6280583588132794
450,[0.00000 0.00000],[0.00000 0.00000],0.5922703613061667
500,[0.00000 0.00000],[0.00000 0.00000],0.5562115462150358
550,[0.00000 0.00000],[0.00000 0.00000],0.5235281035088128
600,[0.00000 0.00000],[0.00000 0.00000],0.4921528450161239
650,[0.00000 0.00000],[0.00000 0.00000],0.4642158876787172
700,[0.00000 0.00000],[0.00000 0.00000],0.4370388049878909
750,[0.00000 0.00000],[0.00000 0.00000],0.41169917810944917
800,[0.00000 0.00000],[0.00000 0.00000],0.3881682413871211
850,[0.00000 0.00000],[0.00000 0.00000],0.36642069996240184
900,[0.00000 0.20000],[0.00000 0.16000],0.34736015507796286
950,[0.00000 0.00000],[0.00000 0.00000],0.33001980245814416
1000,[0.00000 0.00000],[0.00000 0.00000],0.31438368488487256
1050,[0.00000 0.00000],[0.00000 0.00000],0.29827716043240876
1100,[0.20000 0.00000],[0.16000 0.00000],0.2824489730281802
1150,[0.00000 0.00000],[0.00000 0.00000],0.26968699241558775
1200,[0.00000 0.00000],[0.00000 0.00000],0.25712245140386647
1250,[0.20000 0.00000],[0.16000 0.00000],0.24555003479034732
1300,[0.20000 0.00000],[0.16000 0.00000],0.23428258108867497
1350,[0.40000 0.20000],[0.24000 0.16000],0.22442953001799595
1400,[0.20000 0.00000],[0.16000 0.00000],0.21476326607425794
1450,[0.00000 0.00000],[0.00000 0.00000],0.2060914619479135
1500,[0.20000 0.20000],[0.16000 0.16000],0.19778802779419571
1550,[0.00000 0.20000],[0.00000 0.16000],0.19002030025767938
1600,[0.20000 0.00000],[0.16000 0.00000],0.18230559606806368
1650,[0.00000 0.00000],[0.00000 0.00000],0.17467067558514032
1700,[0.00000 0.20000],[0.00000 0.16000],0.16830615557012435
1750,[0.00000 0.20000],[0.00000 0.16000],0.16209140995737367
1800,[0.00000 0.20000],[0.00000 0.16000],0.15548911797693493
1850,[0.00000 0.20000],[0.00000 0.16000],0.14923132670721662
1900,[0.60000 0.00000],[0.24000 0.00000],0.1436481376890106
1950,[0.00000 0.40000],[0.00000 0.24000],0.13850963984089457
2000,[0.20000 0.20000],[0.16000 0.16000],0.13370264534888124
2050,[0.70000 0.10000],[0.16000 0.04000],0.12940766470967235
2100,[0.00000 0.20000],[0.00000 0.16000],0.12473260714315508
2150,[0.20000 0.20000],[0.16000 0.16000],0.120032817416231
2200,[0.00000 0.40000],[0.00000 0.24000],0.11641796406294029
2250,[0.36667 0.43333],[0.13778 0.15111],0.11299520125289302
