iteration,episode,step,labels,labels_seen,state_0,state_1,reward_0,reward_1,action_0,action_1,available_actions_0,available_actions_1
0,149996,0,"('a', 'g2')",set(),[1 1],[7 2],0.0,0.0,[2],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,1,(),set(),[1 2],[7 1],0.0,0.0,[2],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,2,(),set(),[1 3],[7 0],0.0,0.0,[2],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,3,(),set(),[1 4],[7 0],0.0,0.0,[0],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,4,(),set(),[1 5],[7 0],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,5,(),set(),[1 4],[8 0],0.0,0.0,[1],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,6,(),set(),[1 5],[8 0],0.0,0.0,[2],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,7,(),set(),[1 6],[7 0],0.0,0.0,[1],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,8,(),set(),[2 6],[7 1],0.0,0.0,[3],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,9,(),set(),[1 6],[7 0],0.0,0.0,[0],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,10,(),set(),[0 6],[6 0],0.0,0.0,[0],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,11,(),set(),[0 6],[5 0],0.0,0.0,[3],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,12,(),set(),[0 5],[5 0],0.0,0.0,[2],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,13,(),set(),[0 6],[6 0],0.0,0.0,[2],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,14,(),set(),[0 7],[6 0],0.0,0.0,[1],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,15,(),set(),[1 7],[7 0],0.0,0.0,[0],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,16,(),set(),[0 7],[7 0],0.0,0.0,[2],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,17,(),set(),[0 8],[8 0],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,18,(),set(),[1 8],[9 0],0.0,0.0,[2],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,19,(),set(),[1 9],[9 1],0.0,0.0,[3],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,20,(),set(),[0 9],[9 2],0.0,0.0,[3],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,21,(),set(),[0 8],[9 2],0.0,0.0,[3],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,22,(),set(),[0 7],[8 2],0.0,0.0,[3],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,23,"('start2',)",{'start2'},[0 6],[7 2],0.0,0.0,[1],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,24,"('start2',)",{'start2'},[1 6],[7 2],0.0,0.0,[3],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,149996,25,(),{'start2'},[2 6],[7 3],0.0,0.0,[3],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
