iteration,episode,step,labels,labels_seen,state_0,state_1,reward_0,reward_1,action_0,action_1,available_actions_0,available_actions_1
0,74996,0,"('c', 'd')",set(),[0 0 0 0],[0 0 0 3],0.0,0.0,[1],[1],"[0, 1, 2, 3]","[0, 1, 2, 3]"
0,74996,1,"('a',)",{'a'},[0 0 1 0],[0 0 1 3],0.0,0.0,[2],[3],"[0, 1, 2, 3]","[0, 1, 2, 3]"
0,74996,2,"('a', 'b')","{'b', 'a'}",[0 1 1 0],[0 1 1 2],0.0,0.0,[1],[2],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,3,"('a',)","{'b', 'a'}",[0 1 1 0],[0 1 1 3],0.0,0.0,[1],[1],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,4,"('a',)","{'b', 'a'}",[0 1 1 0],[0 1 2 3],0.0,0.0,[1],[1],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,5,(),"{'b', 'a'}",[0 1 2 0],[0 1 3 3],0.0,0.0,[2],[3],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,6,(),"{'b', 'a'}",[0 1 2 0],[0 1 2 3],0.0,0.0,[2],[1],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,7,(),"{'b', 'a'}",[0 1 2 0],[0 1 2 2],0.0,0.0,[2],[1],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,8,"('a', 'd')","{'b', 'd', 'a'}",[0 1 1 0],[0 1 3 2],0.0,0.0,[1],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,9,"('a', 'd')","{'b', 'd', 'a'}",[0 1 1 0],[0 1 3 2],0.0,0.0,[1],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,10,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,11,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,12,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,13,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,14,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,15,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,16,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,17,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,18,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,19,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,20,"('a', 'd')","{'b', 'd', 'a'}",[0 1 1 0],[0 1 3 2],0.0,0.0,[1],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,21,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,22,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,23,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
0,74996,24,"('d',)","{'b', 'd', 'a'}",[0 1 2 0],[0 1 3 2],0.0,0.0,[2],[6],"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
