iteration,episode,step,labels,labels_seen,state_0,state_1,reward_0,reward_1,action_0,action_1,available_actions_0,available_actions_1
0,74996,0,"('c', 'd')",set(),[0 0],[0 3],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,1,(),set(),[0 0],[1 3],0.0,0.0,[2],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,2,"('b',)",{'b'},[0 0],[1 2],0.0,2.0,[3],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,3,(),{'b'},[0 0],[2 2],0.0,0.0,[0],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,4,(),{'b'},[0 0],[2 2],0.0,0.0,[1],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,5,"('b',)",{'b'},[0 0],[1 2],0.0,0.0,[2],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,6,(),{'b'},[0 0],[2 2],0.0,0.0,[3],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,7,(),{'b'},[0 0],[2 2],0.0,0.0,[0],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,8,(),{'b'},[0 0],[2 3],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,9,"('a',)","{'a', 'b'}",[1 0],[3 3],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,10,"('a',)","{'a', 'b'}",[1 0],[3 3],0.0,0.0,[1],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,11,(),"{'a', 'b'}",[2 0],[3 3],0.0,0.0,[3],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,12,(),"{'a', 'b'}",[2 0],[3 3],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,13,"('c',)","{'c', 'a', 'b'}",[3 0],[3 3],10.0,0.0,[1],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,14,"('c',)","{'c', 'a', 'b'}",[3 0],[3 3],0.0,0.0,[1],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,15,"('c',)","{'c', 'a', 'b'}",[3 0],[2 3],0.0,0.0,[1],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,16,"('c',)","{'c', 'a', 'b'}",[3 0],[2 3],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,17,"('c',)","{'c', 'a', 'b'}",[3 0],[3 3],0.0,0.0,[0],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,18,"('c',)","{'c', 'a', 'b'}",[3 0],[2 3],0.0,0.0,[1],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,74996,19,"('c',)","{'c', 'a', 'b'}",[3 0],[1 3],0.0,0.0,[1],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
